"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "Zinc:18.26", "Iron:42.46", "", "Iron:1.27", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "Iron:42.67", "", "", "Iron:20.5", "Iron:33.31", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "Iron:58.04", "", "Iron:23.26", "", "", "", "", "", "Iron:35.6", "", "Iron:96.4", "", "", "Iron:22.7", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "Iron:27.49", "", "", "", "", "Iron:14.42", "", "Iron:32.83", "Iron:11.52", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "Iron:18.48", "Iron:9.66", "", "", "Iron:29.87", "", "", "Iron:9.08", "", "Iron:31.9|Zinc:28.99", "", "Iron:36.35", "Iron:0.59", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:11.91", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "Iron:6.26", "Iron:7", "", "", "", "", "", "", "Iron:52.89", "", "", "Iron:6.64", "", "", "Iron:3.46", "Iron:1.22", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "Iron:9.22", "", "", "", "Copper:16.09", "", "", "", "", "", "", "", "", "", "", "Iron:7.59", "Iron:9.31", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "Iron:0.19", "", "", "", "", "", "", "", "", "", "", "Iron:22.62", "", "", "", "", "Iron:28.91", "", "", "Iron:34.87", "Iron:22.56", "Iron:31.4", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "Iron:0.89", "", "", "", "", "", "", "", "", "", "Iron:17.35", "Iron:27.53", "", "Iron:14.99", "", "", "", "", "Zinc:41.92", "", "", "", "Zinc:23.31", "Zinc:120.38", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "Iron:0.4", "", "", "", "", "Iron:17.72", "", "", "", "Iron:68.92", "", "", "Iron:8.55", "", "Iron:33.4", "Iron:48.22", "", "", "", "", "", "Iron:34.58", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "Iron:12.06", "", "Iron:11.28", "Iron:45.19", "", "", "", "", "", "", "Iron:83.79", "", "", "", "Iron:39.09", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:0.38", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "Iron:1.25", "", "", "", "", "", "", "Iron:139.19", "", "", "", "", "", "", "", "Iron:80.49", "", "", "", "", "Iron:5.26", "Iron:21.42", "Iron:14.23", "", "Iron:39.03", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Zinc:263.51", "Iron:36.21|Uranium:46.81", "", "", "Iron:167.46", "", "Iron:44.72", "Iron:76.4", "", "", "", "Iron:26.25", "Iron:22.18", "", "Iron:36.05", "", "Iron:72.72", "", "", "", "", "", "", "", "", "", "Iron:17.17", "", "Iron:9.49", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:121.29", "", "", "", "", "", "", "", "", "", "", "Iron:52.42", "", "", "", "Iron:34", "", "", "", "", "", "", "", "", "Iron:9.71", "", "", "Iron:60.02", "", "", "", "", "Iron:5.12", "", "", "Iron:7.81", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:20.54", "", "", "Iron:68.78", "", "", "", "Iron:251.34", "Iron:138.09", "Iron:21.65", "", "Iron:5.21", "", "Iron:53.01", "Iron:164.22", "", "Iron:59.94", "", "", "Iron:25.88", "Iron:20.51", "", "", "Iron:3.75", "", "", "", "", "", "Iron:52.63", "Iron:51.6", "", "Iron:7.41", "Iron:3.27", "", "", "", "", "", "", "", "", ""
"", "", "Iron:1.62", "Iron:2.55", "Iron:0.53", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:3.42", "", "Iron:53.41", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:137.34", "Iron:39.4", "", "", "", "", "", "", "", "Iron:195.56", "Iron:25.55", "Iron:57.89", "Iron:23", "", "Iron:3.71", "", "", "Iron:5.34", "Iron:2.14", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:6.2", "", "Iron:80.72", "", "", "", "", "", "", "", "", "", "Iron:61.89", "", "", "", "", "", "", "", "", "Iron:2.27", "", "", "Iron:21.08", "", "Iron:1.57", "", "", "", "Iron:9.66", "Iron:5.94", "", "", "", ""
"", "", "Iron:2.66", "", "", "Iron:3.72", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:0.63", "", "", "", "", "", "Iron:6.27", "", "", "", "", "Iron:16.72", "", "", "Iron:9.43", "", "", "", "Iron:92.45", "", "Iron:6.15", "Iron:4.48", ""
"", "", "", "Iron:101.8", "Iron:15.79", "", "", "", "", "Iron:2.81", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:2.99", "", "Iron:41.59", "", "", "", "", "Iron:46.24", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:26.32", "", "", "Iron:81.49|Copper:82.07", "", "", "Iron:4.91"
"", "", "Iron:2.57", "", "", "Iron:96.91", "Iron:38.19", "", "", "", "", "", "", "Lead:1", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:0.99", "", "Iron:14.57", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:1.23", "Iron:5.16", "", "", "", "", "", "", "", "", "", "Iron:162.12", "", "", "", ""
"", "", "Iron:1.49", "", "Iron:77.73", "Iron:34.56", "", "", "", "", "", "Iron:0.17", "", "Iron:1.81", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:14.79", "Iron:118.69", "", "", "Iron:46.52", "", "", "", "Iron:10.66", "", "Iron:10.17", "", "Iron:75.48", "Silver:48.97", "Marble:8.01", "", "", "", "", "", "", "", "", "Iron:77.19", "Iron:31.04", "", "Iron:5.06", "", ""
"", "", "Iron:1.33", "Iron:4.36", "", "", "", "Copper:111.67", "Iron:33.61", "", "", "", "", "", "", "Iron:2.54", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:17.22|Silver:11.96", "Iron:73.29", "Iron:36.15", "Iron:66.71", "Iron:36.96", "", "Iron:71.66", "Iron:28.71", "", "Iron:61.35", "", "", "", "Iron:30.92", "", "", "", "", "", "", "", "", "", "", "Iron:21.59", "", "Iron:15.63", ""
"Iron:2.89", "", "", "", "Iron:12.35", "Iron:19.47", "", "Iron:112.52", "", "Iron:14.16", "", "Iron:41.96", "", "Iron:3.71", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:15.32", "", "Iron:17.81", "Iron:10.01", "", "", "", "", "", "", "Iron:14.75", "", "", "", "", "Iron:0.14", "", "", "Uranium:0.7", "Iron:5.61", "Iron:152.1", "", "", ""
"", "", "Iron:31.94", "", "Silver:34.02", "", "", "", "", "", "Copper:23.09", "", "Iron:40.22", "Iron:16.38", "", "", "", "", "", "Iron:3.55", "Iron:2.63", "", "Iron:11.33", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:0.16", "", "Iron:26.32|Zinc:21.12", "", "Iron:10.32", "", "Iron:24.95", "Iron:19.64", "Iron:18.65", "Iron:20.08", "", "", "", "", "", "", "", "Iron:9.48", "", "", ""
"", "", "", "", "Iron:29.15", "Iron:26.07", "", "", "", "Iron:16.48", "", "", "Iron:5.25", "", "", "Iron:33.08", "", "", "", "Iron:1.63", "", "", "", "Iron:44.03", "", "Iron:40.97", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:145.96", "", "Iron:24.74", "", "", "", "", "", "", "", "Iron:49.49", ""
"Iron:10.52", "", "Zinc:97.76", "", "", "", "", "", "Iron:26.37", "Iron:37.46", "", "", "Iron:3.64", "", "Iron:133.2", "", "", "", "", "", "", "Iron:70.58", "Iron:8.72", "Iron:10.34", "", "", "", "Iron:55.74", "", "Iron:12.78", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:32.56", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "Iron:0.85", "Iron:38.21", "Iron:7.15", "", "", "", "", "", "", "Iron:20.44", "", "", "", "", "", "", "", "", "", "", "Iron:47.66", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:0.53", "", "Iron:64.75", "", "Iron:16.61", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "Iron:36.14", "", "Iron:20.57", "", "Iron:9.48", "", "", "", "", "", "Iron:40.38", "", "", "Iron:1.95", "Iron:4.09", "", "", "", "", "", "", "Iron:20.82", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:6.32", "", "Iron:25.99", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "Iron:0.31", "Iron:0.07", "", "", "", "Iron:31.68", "", "", "Zinc:122.34", "", "Iron:188.98", "", "", "", "Iron:13.86", "", "Iron:16.57", "Iron:9.74", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:12.03", "", "Iron:26.01|Zinc:15.87", "Iron:19.69", "", "", "", "", ""
"", "", "", "", "Iron:1.35", "", "", "", "", "", "", "Iron:22.67", "", "", "", "", "", "Iron:201.07", "Iron:73.58", "Iron:47.52", "", "Iron:4.05", "", "", "", "", "", "", "", "", "Iron:5.68", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Iron:11.53|Zinc:11.73", "", "", "Copper:37.86", "", "", "Iron:30.41", "", "", "", "", "Iron:8.39", "", "", "", "", "", "", "Iron:16.38", "", "", "Iron:6.66", "Iron:10.79", "", "", "", "", "Iron:3.41", "", "", "", "", "", "", "", "", "", "", "Iron:3.06", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:1.95", "", "", "", "", "", "Iron:0.4"
"Iron:19.06", "", "", "", "", "", "", "", "", "", "Iron:2", "", "", "", "", "", "", "Iron:16.33", "", "", "", "Iron:1.35|Gold:1.41", "Iron:4.04", "Iron:3.89", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:42.75", "Silver:5.97", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "Iron:28.85", "", "", "Iron:254.81", "Iron:152.96", "", "", "", "Iron:137.7", "", "", "", "", "", "Copper:12.82", "Iron:24.8", "Iron:150.5", "", "", "", "Iron:0.69", "Iron:4.15", "", "", "", "Iron:6.84", "", "", "", "", "Iron:7.35", "", "", "", "", "", "", "", "", "Iron:8.07", "Iron:15.58", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "Iron:57.11", "Iron:54.32|Tin:49.95", "Iron:126.63", "Iron:88.8", "", "", "", "", "Iron:67.86", "", "Copper:7.7", "Coal:10.49", "", "Iron:6.76", "", "", "", "Iron:8.54", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:7.37", "Iron:19.35", "", "Iron:20.64", "Iron:19.54", "", "Iron:15", "", "", "", "Iron:1.53", "", "", "", "", "", "", "", "", ""
"", "", "Iron:12.76", "", "", "", "", "", "Iron:6.55", "Iron:4.43", "", "", "", "", "", "Iron:272.25", "", "", "", "", "Iron:50.37", "", "", "", "", "", "", "", "", "Iron:3.15", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:9.37", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "Iron:64.52", "Iron:23.06", "", "", "Uranium:255.5", "", "Iron:320.57", "", "Copper:101.24", "", "Iron:132.96", "", "Iron:127.23", "", "", "", "Iron:41.96", "Iron:25.59", "", "Iron:27.59", "Iron:40.31", "", "", "", "", "", "", "", "", "", "Iron:8.75", "", "", "Iron:6.61", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "Gems:96.6", "Iron:11.94", "", "", "", "Iron:184.18", "", "", "Iron:77.36", "", "Iron:111.02", "", "", "", "", "", "Iron:154.94", "", "", "", "", "Iron:39.47", "", "Iron:16.98", "", "Iron:6.78", "", "", "Iron:1.25", "", "Iron:10.19", "", "Gems:6.14", "Iron:2.84", "Iron:0.41", "", "", "", "", "", "", "", "", "", "", "", "", "", "Obsidian:56.3"
"", "", "", "", "", "", "", "Iron:182.36", "", "Iron:33.48", "", "", "", "", "", "", "", "Zinc:27.24", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:5.16", "Iron:1.94", "", "", "Iron:12.87", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:12.45", "", ""
"", "", "", "", "Iron:62.65", "", "", "", "", "", "Iron:13.33", "", "", "", "", "", "Iron:52.46", "", "Iron:30.18", "Iron:88.81", "", "Iron:19.1", "", "", "", "Iron:56.24", "", "", "", "Iron:33.51", "", "", "", "", "Iron:25.71", "", "", "", "Iron:9.22", "", "", "", "Iron:28.34", "", "", "", "Iron:0.91", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Iron:3.34", "Iron:5.56|Coal:5.2", "", "", "", "", "", "", "", "Iron:23.19", "Iron:15.67", "", "", "Zinc:8.45", "", "Iron:69.73", "", "", "Uranium:42.41", "", "", "Iron:22.73", "Iron:63.89", "Iron:51.84", "Iron:22.27", "Iron:19.98", "", "", "", "", "", "Iron:36.52", "", "", "", "", "", "Iron:99.28", "", "", "", "", "Iron:9.32", "", "", "", "", "Iron:1.71|Copper:1.67", "", "", "", "", "", "", "Iron:3.65", "", "Zinc:17.17", "", "", ""
"Iron:5.27", "Iron:41.09", "", "", "Iron:66.56", "", "", "", "", "", "Iron:104.42", "", "", "", "", "Iron:17.12|Zinc:19.1", "Iron:24.94", "", "", "Iron:52.84", "", "Iron:25.84", "", "", "", "", "", "", "", "", "Iron:106.24", "", "", "", "", "", "", "", "", "Iron:375.22", "", "", "Iron:21.46", "Iron:25.81", "", "", "", "", "", "Iron:36.19", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "Iron:25.02", "", "Iron:15.36", "Iron:14.09", "", "", "Iron:19.28", "", "Iron:21.25", "", "", "", "", "", "Iron:39.88", "Iron:38.52", "Iron:237.2", "", "", "", "", "", "Iron:9.21", "", "", "Zinc:18.76", "", "Iron:27.23", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:208.06", "Iron:79.27", "Iron:40.06", "Iron:12.78", "", ""
"", "", "", "", "", "", "", "Marble:83.41", "", "", "", "", "", "", "", "", "", "", "Iron:103.29", "Iron:69.1", "", "Iron:42.71", "", "", "", "", "", "", "", "", "", "Iron:54.95", "", "", "", "Iron:4.55", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:20", "Iron:49.26", "Iron:39.15", "", "", "", "", "Iron:28.15", "", "Iron:14.25", "", "Iron:9.67"
"", "Iron:35.53", "", "", "", "", "", "", "Iron:17.78", "", "Iron:203.13", "", "", "", "", "", "", "Iron:10.59", "Iron:16.14", "", "", "", "", "Iron:20.29", "", "", "", "Iron:39.96", "", "", "", "Iron:24.22", "", "Iron:147.46", "", "", "", "Iron:40.71", "", "", "", "Iron:50.37", "Iron:95.08", "", "Iron:42.17", "", "", "", "", "", "Iron:67.79", "Copper:34.86", "", "", "", "", "", "", "Marble:34.79", ""
"", "", "", "", "", "", "", "Iron:139.12", "Iron:27.3", "", "Iron:118.07", "", "", "", "", "", "", "Iron:1.81", "", "", "Iron:39.22", "Iron:55.52", "Iron:35.21", "Iron:12.2", "", "Iron:26.01", "", "", "Iron:82.53", "", "", "", "", "", "Iron:32.8", "", "", "", "Iron:7.23", "Iron:4.43", "Iron:4.24", "", "", "", "Iron:95.78", "Iron:23.75", "", "", "", "", "Iron:20.12", "", "", "Copper:27.84", "", "", "", "", "", ""
"", "Iron:81.88", "", "", "", "", "Tin:82.4", "Iron:78.38", "Iron:22.8", "", "Iron:53.68", "", "", "Iron:93.25", "", "Iron:514.79", "", "", "Iron:1.27", "", "Iron:5.74", "", "", "", "", "", "Iron:3.1", "", "", "", "", "", "", "Iron:118.11", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:14.3", "Iron:7.76", "", ""
"", "", "", "", "", "", "Iron:26.77", "", "Iron:18.8", "", "", "", "Iron:14.07", "", "", "", "", "Iron:21.26", "", "", "", "", "", "", "Iron:117.72", "", "", "", "", "Iron:18.38|Copper:19.61", "", "", "Iron:65.56", "", "", "Iron:22", "", "Iron:44.6", "", "", "", "", "", "", "Iron:10.58", "Iron:14.5", "", "", "", "", "", "", "Iron:100", "", "", "", "", "Iron:33.13", "Iron:57.31", "Iron:2.57"
"", "", "Iron:1.38", "", "", "", "", "Iron:64.53", "Iron:74.72", "", "", "", "", "Iron:17.39", "", "", "", "", "", "", "Iron:1.8", "", "", "", "", "", "", "", "Zinc:45.28", "Iron:26.58", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:93.04", "", "", "", "", "", "Iron:63.05", "", "", "", "Iron:72.1", "Iron:57.64", "", "", "", "", "Iron:5.27"
"", "Iron:3.32", "", "Iron:10.78", "", "Zinc:64.4", "", "", "", "", "", "", "", "", "", "", "Iron:12.79", "", "", "", "Iron:27.49", "", "", "", "Iron:2.49", "", "", "Iron:54.25", "Iron:53.15", "", "Iron:27.7", "", "Iron:31.39", "", "", "Iron:10.95", "", "", "Iron:32.69", "", "Iron:14.39", "", "", "Iron:39.35", "", "", "", "Iron:43.13", "", "", "", "Iron:66.87", "", "", "Iron:104.7", "Iron:25.1", "", "", "", "Iron:14.74"
"Iron:1.13", "", "", "Iron:45.77", "", "", "", "", "", "", "", "", "Iron:30.89", "", "", "Zinc:31.04", "", "Iron:7.53", "", "", "", "", "", "", "", "", "", "Iron:14.54", "", "", "", "", "", "Iron:272.57", "", "Iron:43.93", "", "", "", "", "Iron:14.78", "", "", "Iron:35.91", "", "Iron:5.7", "", "", "", "", "", "", "Iron:53.56", "", "", "", "", "Iron:28.11", "", ""
"", "Iron:2.76", "", "", "", "", "", "Copper:97.92", "", "Silver:5.15", "", "", "", "Iron:20.87", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:35.61|Tin:43.9", "", "Iron:28.11", "", "", "", "Iron:70.13", "", "", "", "Iron:63.47", "", "", "Iron:9.67", "", "Iron:11.96", "", "", "", "", "", "Iron:57.4", "", "", "", "Iron:319.14", "Iron:38.31", "", "", "Iron:103.9", "", "", "Iron:26.95", ""
"Iron:22.67", "", "Iron:8.84", "", "Iron:26.79", "", "", "Lead:81.43", "", "Zinc:17.45", "", "", "", "", "", "Iron:54.62", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:9.14", "", "Iron:193.05", "", "", "", "", "Iron:37.55", "Iron:11", "", "Iron:7.41", "", "Iron:10.08", "Iron:8.73", "", "Iron:29.81", "", "", "", "", "", "Iron:23.17", "", "", "", "", "", "Iron:46.11", "", "", "Iron:13.94", ""
"", "", "", "Zinc:26.71", "", "Iron:40.9", "Iron:47.14", "Iron:40.47", "", "Iron:18.24", "", "", "", "", "", "Iron:85.9", "", "", "", "", "", "Copper:18.73", "", "", "", "", "", "", "", "", "", "", "Iron:13.28", "", "", "", "Iron:11.56", "", "Uranium:7.75", "", "", "", "", "", "", "", "", "", "Iron:8.26", "", "", "Iron:17.3", "", "", "", "", "", "", "", "Iron:0.91"
"", "", "", "", "", "", "Iron:98.73", "", "", "", "", "", "", "Iron:19.53", "", "", "", "", "", "", "", "", "Iron:147.32", "Iron:22.22", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:24.68", "", "", "", "Iron:12.7", "", "Zinc:18.92", "", "", "", "", "Iron:11.39", "Iron:14.62", "", "", ""
"", "", "Iron:17.31", "Iron:34.76", "", "", "", "", "", "", "", "", "", "", "", "Iron:11.74", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:243.24", "Iron:34.57", "", "", "", "", "", "", "", "Iron:106.16", "", "", "", "", "Iron:2.84", "", "", "", "Iron:2.89", "", "", "Iron:21.36", "", "Iron:18.89", "Iron:16.67", "Iron:73.84", "", "", "", "Iron:18.07", "", ""
"", "", "", "Iron:23.72", "Iron:63.2", "", "", "Zinc:26.62", "", "Iron:45.31", "", "", "", "", "", "Iron:4.53", "", "", "", "", "Iron:49.92", "", "", "Iron:395.52", "Iron:230.01", "", "Iron:52", "", "", "Iron:32.93", "Iron:16.07", "Iron:5.95", "", "Iron:17.34", "Iron:69.42", "", "", "", "", "Iron:23.15", "Iron:28.61", "", "Iron:2.7", "", "", "Iron:0.65", "", "", "", "", "", "", "", "Iron:51.32", "", "", "", "", "", ""
"", "", "Silver:3.61", "", "", "", "", "", "", "Iron:34.1|Tin:32.41", "", "Iron:37.54", "", "", "", "", "Iron:2.06", "", "", "", "Iron:75.32", "", "", "", "Iron:100.19", "", "", "", "", "", "", "", "Iron:6.14", "", "", "Iron:5.93|Zinc:5.87", "Iron:41.76", "", "", "", "", "Iron:7", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:9.13", "", "Iron:6.6", "", "", ""
