"Iron:0.03", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:13.92", "Iron:9.36", "", "", "", "", "", "", "", "", "Iron:8.46", "Iron:6.96", "", "", "", "", "", "", "", "Iron:5.68", "Iron:14.95", "", "", "", "", "Zinc:0.91"
"", "", "", "", "", "", "", "", "", "Iron:2.33", "", "", "", "Iron:2.65", "", "Iron:2.36", "", "", "", "", "", "Iron:23.14", "", "", "Iron:27.28", "", "Iron:8.05", "", "", "Iron:29.08", "", "", "", "", "Iron:164.72|Lead:147.71", "Iron:72.06", "Iron:56.33", "", "", "Iron:18"
"", "", "", "", "", "", "", "", "", "", "", "Iron:5.31", "Iron:5.65", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:35.74", "Iron:52.94", "", "", "", "", "", "", "", "", "", "Iron:7.14"
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:0.51", "Iron:0.51", "", "", "", "", "", "", "", "Iron:11.85", "Iron:4.88", "", "", "", "", "Iron:5.04", "", "", "", "", "", "Iron:24.11"
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:0.73", "", "", "", "", "", "", "", "", "", "", "", "Iron:1.21", "", "Iron:3.83", "", "", "", "", ""
"", "", "Iron:56.88", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:0.36", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:1.56", "", "Iron:5.33", "Iron:3.94", "", "", "Iron:17.76|Copper:19.28", ""
"Iron:2.04", "", "Iron:94.13", "Iron:8.09", "Uranium:0.34", "", "", "", "", "", "", "", "", "", "", "", "", "Copper:0.48", "Iron:0.27", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Obsidian:0.56", "", "", "Iron:16.68", "", "", "Iron:3.82"
"", "", "", "Iron:6.28", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "Iron:5.74", "Iron:7.63", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:5.27", "", "Iron:0.07|Tin:0.07"
"", "Iron:29.38", "", "", "Iron:9.98|Copper:10.11", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "Iron:24.8", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "Iron:51.1", "", "", "Iron:21.7", "", "Iron:44.58", "", "", "Iron:48.12", "", "", "", "", "", "", "", "", "", "", "", "Iron:0.22", "Iron:0.28", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Silver:7.14", "", "Iron:20.16", "", "", "", "", "", "", "Iron:49.45", "", "", "Iron:68.81", "Zinc:1.08", "", "", "", "", "", "", "", "", "Iron:2.32", "Iron:3.3", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "Iron:7.58", "", "", "", "", "", "", "", "Iron:44.84", "Iron:45.64", "Iron:29.84", "", "Iron:0.23", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Iron:3.05", "", "", "", "", "", "", "", "", "", "Iron:10.22", "", "", "Iron:18.78", "Iron:22.27|Marble:25.32", "", "Iron:8.04", "", "Iron:2.21", "", "", "Iron:4.58", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "Iron:6.99", "", "", "Iron:9.5", "", "", "", "", "", "", "", "Iron:9.93", "", "Iron:6.15", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Iron:6.83", "", "Silver:34.54", "", "", "", "Iron:21.63", "", "Iron:17.2", "Iron:129.89|Tin:128.2", "Iron:14.65", "Iron:96.64", "Iron:40.65", "", "", "", "", "", "", "Iron:15.51", "", "", "", "", "", "", "", "", "", "", "Iron:0.29", "Iron:0.37", "", "", "", "", "", "", "", ""
"Iron:15.54", "Iron:42.16", "", "", "", "", "", "Iron:44.37", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:0.65", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "Iron:10.66", "", "", "", "", "", "", "", "Iron:13.16", "Iron:116.24", "", "", "", "", "", "Iron:24.59", "", "Iron:50.74", "", "Iron:75.67", "", "", "", "", "Coal:58.3", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Iron:2.05", "", "", "Iron:2.03", "Iron:12.12", "Iron:14.02|Lead:15.85", "", "", "Iron:5.22", "", "Iron:19.74", "", "", "", "", "", "", "", "", "", "Iron:13.45", "", "", "", "", "Iron:19.19", "", "", "", "Iron:4.56", "", "", "Iron:1.18", "", "", "", "", "", "", ""
