"Iron:1000.47", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:1038.76", "Iron:1146.16", "", "", "", "", "", "", "", "", "Iron:928.91", "Iron:764.35", "", "", "", "", "", "", "", "Iron:230.67", "Iron:805.24", "", "", "", "", "Zinc:1005.13"
"", "", "", "", "", "", "", "", "", "Iron:50.54", "", "", "", "Iron:74.8", "", "Iron:137.25", "", "", "", "", "", "Iron:477.35", "", "", "Iron:466.7", "", "Iron:433.64", "", "", "Iron:1106.69", "", "", "", "", "Iron:1443.84|Lead:1294.81", "Iron:1486.94", "Iron:1352.03", "", "", "Iron:269.97"
"", "", "", "", "", "", "", "", "", "", "", "Iron:79.58", "Iron:111.1", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:313.25", "Iron:794.14", "", "", "", "", "", "", "", "", "", "Iron:310.25"
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:70.12", "Iron:55.72", "", "", "", "", "", "", "", "Iron:222.18", "Iron:117.24", "", "", "", "", "Iron:782.76", "", "", "", "", "", "Iron:1206.19"
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:59.75", "", "", "", "", "", "", "", "", "", "", "", "Iron:120.17", "", "Iron:525.74", "", "", "", "", ""
"", "", "Iron:554.61", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:56.03", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:78.11", "", "Iron:397.87", "Iron:353.41", "", "", "Iron:956.99|Copper:1038.45", ""
"Iron:1007.52", "", "Iron:987.49", "Iron:204.75", "Uranium:13.12", "", "", "", "", "", "", "", "", "", "", "", "", "Copper:14.47", "Iron:12.34", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Obsidian:13.37", "", "", "Iron:498", "", "", "Iron:592.31"
"", "", "", "Iron:468.38", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "Iron:428.27", "Iron:136.62", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:108.83", "", "Iron:11.12|Tin:10.2"
"", "Iron:1276.51", "", "", "Iron:895.26|Copper:907.02", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "Iron:1007.31", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "Iron:1054.31", "", "", "Iron:1262.14", "", "Iron:1498.11", "", "", "Iron:544.34", "", "", "", "", "", "", "", "", "", "", "", "Iron:30.57", "Iron:33.93", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Silver:1109.12", "", "Iron:1172.66", "", "", "", "", "", "", "Iron:1071.89", "", "", "Iron:395.45", "Zinc:25.84", "", "", "", "", "", "", "", "", "Iron:45.67", "Iron:75.2", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "Iron:1041.12", "", "", "", "", "", "", "", "Iron:644.7", "Iron:386.46", "Iron:280.65", "", "Iron:10.63", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Iron:1005.04", "", "", "", "", "", "", "", "", "", "Iron:1122.38", "", "", "Iron:874.59", "Iron:534.54|Marble:607.78", "", "Iron:137.48", "", "Iron:89.89", "", "", "Iron:213.1", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "Iron:1085.95", "", "", "Iron:1043.51", "", "", "", "", "", "", "", "Iron:265.12", "", "Iron:249.88", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Iron:1060.05", "", "Silver:1314.52", "", "", "", "Iron:1007.14", "", "Iron:1083.6", "Iron:1719.8|Tin:1697.4", "Iron:1002.89", "Iron:1181.27", "Iron:1365.85", "", "", "", "", "", "", "Iron:590.23", "", "", "", "", "", "", "", "", "", "", "Iron:10.28", "Iron:10.35", "", "", "", "", "", "", "", ""
"Iron:1063.38", "Iron:1125.63", "", "", "", "", "", "Iron:1490.94", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:35.15", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "Iron:1055.68", "", "", "", "", "", "", "", "Iron:1180.04", "Iron:1538.98", "", "", "", "", "", "Iron:1230.01", "", "Iron:1354.89", "", "Iron:1640.13", "", "", "", "", "Coal:1043.85", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Iron:1010.52", "", "", "Iron:1002.63", "Iron:1087.12", "Iron:1045.84|Lead:1182.57", "", "", "Iron:1060.03", "", "Iron:1148.18", "", "", "", "", "", "", "", "", "", "Iron:1206.8", "", "", "", "", "Iron:833.73", "", "", "", "Iron:228.25", "", "", "Iron:54.75", "", "", "", "", "", "", ""
